fare_id,route_id,origin_id,destination_id
1,1,1,1
1,1001,1,1
1,2,1,1
1,3,1,1
1,1030,1,1
1,4,1,1
1,5,1,1
1,6,1,1
1,1060,1,1
1,7,1,1
1,8,1,1
1,1080,1,1
1,9,1,1
1,10,1,1
1,11,1,1
1,1110,1,1
1,13,1,1
1,14,1,1
1,15,1,1
1,16,1,1
1,17,1,1
1,18,1,1
1,19,1,1
1,20,1,1
1,24,1,1
1,25,1,1
1,26,1,1
1,600,1,1
1,6000,1,1
1,601,1,1
1,602,1,1
1,6020,1,1
1,6021,1,1
1,603,1,1
1,604,1,1
1,605,1,1
1,606,1,1
1,6060,1,1
1,607,1,1
1,608,1,1
1,609,1,1
1,610,1,1
1,6100,1,1
1,611,1,1
1,6110,1,1
1,612,1,1
1,613,1,1
2,1,1,1
2,1001,1,1
2,2,1,1
2,3,1,1
2,1030,1,1
2,4,1,1
2,5,1,1
2,6,1,1
2,1060,1,1
2,7,1,1
2,8,1,1
2,1080,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,1110,1,1
2,13,1,1
2,14,1,1
2,15,1,1
2,16,1,1
2,17,1,1
2,18,1,1
2,19,1,1
2,20,1,1
2,24,1,1
2,25,1,1
2,26,1,1
2,600,1,1
2,6000,1,1
2,601,1,1
2,602,1,1
2,6020,1,1
2,6021,1,1
2,603,1,1
2,604,1,1
2,605,1,1
2,606,1,1
2,6060,1,1
2,607,1,1
2,608,1,1
2,609,1,1
2,610,1,1
2,6100,1,1
2,611,1,1
2,6110,1,1
2,612,1,1 
2,613,1,1
