stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,Dragobraća Okretnica,,43.9711,20.81197,1,,,,,1
2,2,Dragobraća Škola,,43.97644,20.8246,1,,,,,1
3,3,Drenovac Raskrsnica,,43.98374,20.83442,1,,,,,1
4,4,Korićani Dom,,43.98741,20.84503,1,,,,,1
5,5,Korićani,,43.9887,20.84988,1,,,,,1
6,6,Diletova Kafana,,43.99036,20.85695,1,,,,,1
7,7,Kozujevo,,43.99241,20.86574,1,,,,,1
8,8,Male Pčelice Raskrsnica,,43.99349,20.86973,1,,,,,1
9,9,Grosnička Stanica,,43.9952,20.87689,1,,,,,1
10,10,Stanovo,,43.99845,20.88466,1,,,,,1
11,11,Zvezda Čvor,,44.00061,20.88981,1,,,,,1
12,12,Arsenal,,44.00288,20.89472,1,,,,,1
13,13,Šest Topola,,44.00382,20.89945,1,,,,,1
14,14,Mala Vaga 1,,44.00645,20.90614,1,,,,,1
15,15,Pijac 1,,44.00883,20.91261,1,,,,,1
16,16,Ćiftina Ćuprija,,44.00913,20.91919,1,,,,,1
17,17,Hotel,,44.00888,20.91695,1,,,,,1
18,18,Jezero,,44.0119,20.92335,1,,,,,1
19,19,Filip Kljajić,,44.01239,20.92634,1,,,,,1
20,20,Ilina Voda,,44.01512,20.93255,1,,,,,1
21,21,Eko Park,,44.01617,20.93691,1,,,,,1
22,22,Dvadeset Ddrugi Decembar,,44.01883,20.94174,1,,,,,1
23,23,Ilićevo,,44.02222,20.94601,1,,,,,1
24,24,Trafo Ilićevo,,44.02668,20.95267,1,,,,,1
25,25,Arena,,44.03071,20.95796,1,,,,,1
26,26,Maršić Raskrsnica,,44.0338,20.96874,1,,,,,1
27,27,Maršić 2,,44.03614,20.97431,1,,,,,1
28,28,Maršić Škola,,44.0303,20.97235,1,,,,,1
29,29,Maršić Raskrsnica,,44.03363,20.96882,1,,,,,1
30,30,Korman 1,,44.04062,20.9803,1,,,,,1
31,31,Korman Brđani,,44.04777,20.98668,1,,,,,1
32,32,Korman,,44.05048,20.98909,1,,,,,1
33,33,Proleter,,44.02154,20.9378,1,,,,,1
34,34,Romanija,,44.02484,20.94221,1,,,,,1
35,35,Ćava,,43.98405,20.87532,1,,,,,1
36,36,Desimirovac Pumpa,,44.07276,20.87656,1,,,,,1
37,37,Kriva Ćuprija,,43.99364,20.9204,1,,,,,1
38,38,Prodavnica,,43.98914,20.92391,1,,,,,1
39,39,Beloševac Škola,,43.98525,20.92736,1,,,,,1
40,40,Ždraljica Tabla,,43.981,20.93158,1,,,,,1
41,41,Rečani Ž.,,43.97491,20.93553,1,,,,,1
42,42,Ždraljica,,43.97296,20.93741,1,,,,,1
43,43,Pirotehnika,,44.00128,20.91713,1,,,,,1
44,44,Pivara,,44.00557,20.91878,1,,,,,1
45,45,Rujna Zora,,44.0057,20.91926,1,,,,,1
46,46,Ured 112,,44.01238,20.91632,1,,,,,1
47,47,Dom Sindikata,,44.01511,20.91997,1,,,,,1
48,48,Uzor,,44.01731,20.91885,1,,,,,1
49,49,Mala Pijaca,,44.01639,20.91988,1,,,,,1
50,50,Bolnica,,44.01881,20.9129,1,,,,,1
51,51,Žitoprodukt,,44.02013,20.9106,1,,,,,1
52,52,Grudno,,44.02726,20.91647,1,,,,,1
53,53,Elvod,,44.02995,20.91644,1,,,,,1
54,54,Jabučar,,44.0321,20.91509,1,,,,,1
55,55,Milicijska Stanovi,,44.03485,20.91187,1,,,,,1
56,56,Sušica,,44.02408,20.91138,1,,,,,1
57,57,Hangar,,44.02713,20.91248,1,,,,,1
58,58,Bogoslovija,,44.03022,20.91263,1,,,,,1
59,59,Jabučar,,44.03259,20.91199,1,,,,,1
60,60,Stovarište,,44.03727,20.91048,1,,,,,1
61,61,Petrovac,,44.0397,20.91012,1,,,,,1
62,62,Grand,,44.04713,20.90488,1,,,,,1
63,63,Rosići,,44.05103,20.90057,1,,,,,1
64,64,Šumski Raj,,44.05452,20.89701,1,,,,,1
65,65,Ruski Spomenik,,44.05867,20.89255,1,,,,,1
66,66,Opornica,,44.06256,20.88714,1,,,,,1
67,67,Vulkanizer,,44.02669,20.91598,1,,,,,1
68,68,Porta,,44.0037,20.85679,1,,,,,1
69,69,Okretnica Vojska,,44.02877,20.84098,1,,,,,1
70,70,Škola,,43.99758,20.86019,1,,,,,1
71,71,Dom,,43.9989,20.86285,1,,,,,1
72,72,Braće Petrović,,43.99627,20.86657,1,,,,,1
73,73,Samoposluga,,44.0393,20.91065,1,,,,,1
74,74,Bare,,44.04481,20.91474,1,,,,,1
75,75,Škola,,44.05112,20.91974,1,,,,,1
76,76,Petrovac Okretnica,,44.05308,20.92119,1,,,,,1
77,77,Đonsko Brdo,,44.06367,20.92605,1,,,,,1
78,78,Novi Milanovac,,44.07318,20.93355,1,,,,,1
79,79,Remontni Zavod,,43.96235,20.94933,1,,,,,1
80,80,Donja Sabanta,,43.95468,20.96281,1,,,,,1
81,81,Proleće,,44.0094,20.92216,1,,,,,1
82,82,Samoposluga,,44.00376,20.92893,1,,,,,1
83,83,Mlin,,44.0014,20.93318,1,,,,,1
84,84,Bresnica Most,,43.99718,20.93813,1,,,,,1
85,85,Bresnica Most,,43.99691,20.93805,1,,,,,1
86,86,Viš,,44.00801,20.91542,1,,,,,1
87,87,Brioni,,44.0036,20.92277,1,,,,,1
88,88,Rujna Zora,,44.00624,20.9194,1,,,,,1
89,89,Brioni,,44.00353,20.92347,1,,,,,1
90,90,Aerodrom Crkva,,44.03094,20.91069,1,,,,,1
91,91,Aerodrom Raskrsnica,,44.03183,20.90544,1,,,,,1
92,92,Vodoterm,,44.03285,20.90139,1,,,,,1
93,93,Elektrošumadija,,44.02875,20.91808,1,,,,,1
94,94,Metro,,44.021003,20.931458,1,,,,,1
95,95,Des,,44.03003,20.915,1,,,,,1
96,96,Pošta,,44.0278,20.91188,1,,,,,1
97,97,Aerodrom Stadion,,44.02868,20.90559,1,,,,,1
98,98,Prodavnica,,44.03009,20.8963,1,,,,,1
99,99,Grujina Česma,,44.02931,20.90117,1,,,,,1
100,100,Vinogradi,,44.02989,20.89142,1,,,,,1
101,101,Prodavnica Pkb,,44.03515,20.88676,1,,,,,1
102,102,Prodavnica Kućni Br. 50,,44.0378,20.88423,1,,,,,1
103,103,Bazeni,,44.03949,20.88053,1,,,,,1
104,104,Zapis,,44.03853,20.87301,1,,,,,1
105,105,Poskurice Dom,,44.04192,20.85511,1,,,,,1
106,106,Poskurice,,44.04158,20.86015,1,,,,,1
107,107,Đurđevski Kraj,,44.04926,20.83695,1,,,,,1
108,108,Kovač,,44.04495,20.83942,1,,,,,1
109,109,Šljivovac,,44.05346,20.83839,1,,,,,1
110,110,Trafo,,43.99492,20.9436,1,,,,,1
111,111,Teferičko Groblje,,43.9947,20.94864,1,,,,,1
112,112,Trmbas Raskrsnica,,43.99407,20.95276,1,,,,,1
113,113,Trmbas 1,,43.98682,20.95792,1,,,,,1
114,114,Trmbas Prodavnica,,43.98447,20.95738,1,,,,,1
115,115,Trmbas Okretnica,,43.98145,20.9511,1,,,,,1
116,116,Dom Starih,,44.02193,20.90182,1,,,,,1
117,117,Medicinska Škola,,44.02043,20.9083,1,,,,,1
118,118,Studentski Dom,,44.01998,20.91009,1,,,,,1
119,119,Bunarče,,43.99246,20.96077,1,,,,,1
120,120,Strahinjina Kuća,,43.98965,20.96669,1,,,,,1
121,121,Obradova Kuća,,43.9893,20.97057,1,,,,,1
122,122,Okretnica,,43.99006,20.97186,1,,,,,1
123,123,Pionir,,44.01108,20.91429,1,,,,,1
124,124,Pozorište,,44.01105,20.90967,1,,,,,1
125,125,Ambulanta,,44.0111,20.9037,1,,,,,1
126,126,Soliter Y,,44.01282,20.89671,1,,,,,1
127,127,Sokolana,,44.00965,20.89556,1,,,,,1
128,128,Stara Kolonija Kapija,,44.00837,20.89956,1,,,,,1
129,129,Mala Vaga,,44.00659,20.90491,1,,,,,1
130,130,Grošnica Ž.Stanica,,43.99364,20.87686,1,,,,,1
131,131,Kapija Vojna,,43.991,20.87738,1,,,,,1
132,132,Raskrsnica,,43.9853,20.87935,1,,,,,1
133,133,Spomenik,,43.98004,20.88216,1,,,,,1
134,134,Vodenica,,43.97434,20.8792,1,,,,,1
135,135,Grošnička Crkva,,43.96971,20.87494,1,,,,,1
136,136,Radosavljevića Kuća,,43.96091,20.87401,1,,,,,1
137,137,Dom,,43.95679,20.8747,1,,,,,1
138,138,Čargova Kuća,,43.9482,20.87428,1,,,,,1
139,139,Adžine Livade,,43.94084,20.87354,1,,,,,1
