route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,work_day,1_work_day_f_T01,Botunje,0,,,1,1
1,work_day,1_work_day_f_T02,Botunje,0,,,1,1
1,work_day,1_work_day_b_T01,Goločelo,1,,,,
1,work_day,1_work_day_b_T02,Goločelo,1,,,,
1,work_day,1_work_day_b_T03,Goločelo,1,,,,
1,work_day,1_2_work_day_f_T01,Korman,0,,,1,1
1,work_day,1_2_work_day_f_T02,Korman,0,,,1,1
1,work_day,1_2_work_day_f_T03,Korman,0,,,1,1
1,work_day,1_2_work_day_f_T04,Korman,0,,,1,1
1,work_day,1_2_work_day_f_T05,Korman,0,,,1,1
1,work_day,1_2_work_day_b_T01,Goločelo,1,,,1,1
1,work_day,1_2_work_day_b_T02,Goločelo,1,,,1,1
1,work_day,1_2_work_day_b_T03,Goločelo,1,,,1,1
1,work_day,1_2_work_day_b_T04,Goločelo,1,,,1,1
1,work_day,1_3_work_day_f_T01,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T02,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T03,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T04,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T05,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T06,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T07,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T08,Botunje,0,,,1,1
1,work_day,1_3_work_day_f_T09,Botunje,0,,,1,1
1,work_day,1_3_work_day_b_T01,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T02,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T03,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T04,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T05,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T06,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T07,Dragobraća,1,,,1,1
1,work_day,1_3_work_day_b_T08,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_f_T01,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T02,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T03,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T04,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T05,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T06,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T07,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T08,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T09,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T10,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T11,Korman,0,,,1,1
1,work_day,1_4_work_day_f_T12,Korman,0,,,1,1
1,work_day,1_4_work_day_b_T01,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T02,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T03,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T04,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T05,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T06,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T07,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T08,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T09,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T10,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T11,Dragobraća,1,,,1,1
1,work_day,1_4_work_day_b_T12,Dragobraća,1,,,1,1
1,saturday,1_saturday_f_T01,Botunje,0,,,1,1
1,saturday,1_2_saturday_f_T01,Korman,0,,,1,1
1,saturday,1_2_saturday_f_T02,Korman,0,,,1,1
1,saturday,1_2_saturday_f_T03,Korman,0,,,1,1
1,saturday,1_3_saturday_f_T01,Botunje,0,,,1,1
1,saturday,1_3_saturday_f_T02,Botunje,0,,,1,1
1,saturday,1_3_saturday_f_T03,Botunje,0,,,1,1
1,saturday,1_3_saturday_f_T04,Botunje,0,,,1,1
1,saturday,1_3_saturday_f_T05,Botunje,0,,,1,1
1,saturday,1_3_saturday_f_T06,Botunje,0,,,1,1
1,saturday,1_3_saturday_f_T07,Botunje,0,,,1,1
1,saturday,1_4_saturday_f_T01,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T02,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T03,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T04,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T05,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T06,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T07,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T08,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T09,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T10,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T11,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T12,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T13,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T14,Korman,0,,,1,1
1,saturday,1_4_saturday_f_T15,Korman,0,,,1,1
1,saturday,1_saturday_b_T01,Goločelo,1,,,1,1
1,saturday,1_saturday_b_T02,Goločelo,1,,,1,1
1,saturday,1_3_saturday_b_T01,Dragobraća,1,,,1,1
1,saturday,1_3_saturday_b_T02,Dragobraća,1,,,1,1
1,saturday,1_3_saturday_b_T03,Dragobraća,1,,,1,1
1,saturday,1_3_saturday_b_T04,Dragobraća,1,,,1,1
1,saturday,1_3_saturday_b_T05,Dragobraća,1,,,1,1
1,saturday,1_3_saturday_b_T06,Dragobraća,1,,,1,1
1,saturday,1_2_saturday_b_T01,Goločelo,1,,,1,1
1,saturday,1_4_saturday_b_T01,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T02,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T03,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T04,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T05,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T06,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T07,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T08,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T09,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T10,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T11,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T12,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T13,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T14,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T15,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T16,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T17,Dragobraća,1,,,1,1
1,saturday,1_4_saturday_b_T18,Dragobraća,1,,,1,1
1,sunday,1_2_sunday_f_T01,Korman,0,,,1,1
1,sunday,1_2_sunday_f_T02,Korman,0,,,1,1
1,sunday,1_2_sunday_f_T03,Korman,0,,,1,1
1,sunday,1_3_sunday_f_T01,Botunje,0,,,1,1
1,sunday,1_3_sunday_f_T02,Botunje,0,,,1,1
1,sunday,1_3_sunday_f_T03,Botunje,0,,,1,1
1,sunday,1_3_sunday_f_T04,Botunje,0,,,1,1
1,sunday,1_4_sunday_f_T01,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T02,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T03,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T04,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T05,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T06,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T07,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T08,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T09,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T10,Korman,0,,,1,1
1,sunday,1_4_sunday_f_T11,Korman,0,,,1,1
1,sunday,1_sunday_b_T01,Goločelo,1,,,1,1
1,sunday,1_3_sunday_b_T01,Dragobraća,1,,,1,1
1,sunday,1_3_sunday_b_T02,Dragobraća,1,,,1,1
1,sunday,1_3_sunday_b_T03,Dragobraća,1,,,1,1
1,sunday,1_2_sunday_b_T01,Goločelo,1,,,1,1
1,sunday,1_2_sunday_b_T02,Goločelo,1,,,1,1
1,sunday,1_4_sunday_b_T01,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T02,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T03,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T04,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T05,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T06,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T07,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T08,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T09,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T10,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T11,Dragobraća,1,,,1,1
1,sunday,1_4_sunday_b_T12,Dragobraća,1,,,1,1
2,work_day,2_work_day_f_T01,Donja Sabanta,0,,,1,1
2,work_day,2_work_day_f_T02,Donja Sabanta,0,,,1,1
2,work_day,2_work_day_f_T03,Donja Sabanta,0,,,1,1
2,work_day,2_work_day_f_T04,Donja Sabanta,0,,,1,1
2,work_day,2_2_work_day_f_T01,Ždraljica,0,,,1,1
2,work_day,2_2_work_day_f_T02,Ždraljica,0,,,1,1
2,work_day,2_2_work_day_f_T03,Ždraljica,0,,,1,1
2,work_day,2_2_work_day_f_T04,Ždraljica,0,,,1,1
2,work_day,2_3_work_day_f_T01,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T02,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T03,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T04,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T05,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T06,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T07,Donja Sabanta,0,,,1,1
2,work_day,2_3_work_day_f_T08,Donja Sabanta,0,,,1,1
2,work_day,2_4_work_day_f_T01,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T02,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T03,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T04,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T05,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T06,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T07,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T08,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T09,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T10,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T11,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T12,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T13,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T14,Ždraljica,0,,,1,1
2,work_day,2_4_work_day_f_T15,Ždraljica,0,,,1,1
2,work_day,2_work_day_b_T01,Novi Milanovac,1,,,1,1
2,work_day,2_work_day_b_T02,Novi Milanovac,1,,,1,1
2,work_day,2_work_day_b_T03,Novi Milanovac,1,,,1,1
2,work_day,2_work_day_b_T04,Novi Milanovac,1,,,1,1
2,work_day,2_work_day_b_T05,Novi Milanovac,1,,,1,1
2,work_day,2_work_day_b_T06,Novi Milanovac,1,,,1,1
2,work_day,2_work_day_b_T07,Novi Milanovac,1,,,1,1
2,work_day,2_3_work_day_b_T01,Petrovac,1,,,1,1
2,work_day,2_3_work_day_b_T02,Petrovac,1,,,1,1
2,work_day,2_3_work_day_b_T03,Petrovac,1,,,1,1
2,work_day,2_3_work_day_b_T04,Petrovac,1,,,1,1
2,work_day,2_3_work_day_b_T05,Petrovac,1,,,1,1
2,work_day,2_2_work_day_b_T01,Novi Milanovac,1,,,1,1
2,work_day,2_2_work_day_b_T02,Novi Milanovac,1,,,1,1
2,work_day,2_4_work_day_b_T01,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T02,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T03,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T04,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T05,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T06,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T07,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T08,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T09,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T10,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T11,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T12,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T13,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T14,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T15,Petrovac,1,,,1,1
2,work_day,2_4_work_day_b_T16,Petrovac,1,,,1,1
2,saturday,2_saturday_f_T01,Donja Sabanta,0,,,1,1
2,saturday,2_saturday_f_T02,Donja Sabanta,0,,,1,1
2,saturday,2_saturday_f_T03,Donja Sabanta,0,,,1,1
2,saturday,2_2_saturday_f_T01,Ždraljica,0,,,1,1
2,saturday,2_2_saturday_f_T02,Ždraljica,0,,,1,1
2,saturday,2_2_saturday_f_T03,Ždraljica,0,,,1,1
2,saturday,2_2_saturday_f_T04,Ždraljica,0,,,1,1
2,saturday,2_2_saturday_f_T05,Ždraljica,0,,,1,1
2,saturday,2_3_saturday_f_T01,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T02,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T03,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T04,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T05,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T06,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T07,Donja Sabanta,0,,,1,1
2,saturday,2_3_saturday_f_T08,Donja Sabanta,0,,,1,1
2,saturday,2_4_saturday_f_T01,Ždraljica,0,,,1,1
2,saturday,2_4_saturday_f_T02,Ždraljica,0,,,1,1
2,saturday,2_4_saturday_f_T03,Ždraljica,0,,,1,1
2,saturday,2_4_saturday_f_T04,Ždraljica,0,,,1,1
2,saturday,2_4_saturday_f_T05,Ždraljica,0,,,1,1
2,saturday,2_saturday_b_T01,Novi Milanovac,1,,,1,1
2,saturday,2_saturday_b_T02,Novi Milanovac,1,,,1,1
2,saturday,2_saturday_b_T03,Novi Milanovac,1,,,1,1
2,saturday,2_3_saturday_b_T01,Petrovac,1,,,1,1
2,saturday,2_3_saturday_b_T02,Petrovac,1,,,1,1
2,saturday,2_3_saturday_b_T03,Petrovac,1,,,1,1
2,saturday,2_3_saturday_b_T04,Petrovac,1,,,1,1
2,saturday,2_3_saturday_b_T05,Petrovac,1,,,1,1
2,saturday,2_3_saturday_b_T06,Petrovac,1,,,1,1
2,saturday,2_3_saturday_b_T07,Petrovac,1,,,1,1
2,saturday,2_2_saturday_b_T01,Novi Milanovac,1,,,1,1
2,saturday,2_2_saturday_b_T02,Novi Milanovac,1,,,1,1
2,saturday,2_2_saturday_b_T03,Novi Milanovac,1,,,1,1
2,saturday,2_2_saturday_b_T04,Novi Milanovac,1,,,1,1
2,saturday,2_2_saturday_b_T05,Novi Milanovac,1,,,1,1
2,saturday,2_4_saturday_b_T01,Petrovac,1,,,1,1
2,saturday,2_4_saturday_b_T02,Petrovac,1,,,1,1
2,saturday,2_4_saturday_b_T03,Petrovac,1,,,1,1
2,saturday,2_4_saturday_b_T04,Petrovac,1,,,1,1
2,saturday,2_4_saturday_b_T05,Petrovac,1,,,1,1
2,saturday,2_4_saturday_b_T06,Petrovac,1,,,1,1
2,sunday,2_sunday_f_T01,Donja Sabanta,0,,,1,1
2,sunday,2_2_sunday_f_T01,Ždraljica,0,,,1,1
2,sunday,2_2_sunday_f_T02,Ždraljica,0,,,1,1
2,sunday,2_3_sunday_f_T01,Donja Sabanta,0,,,1,1
2,sunday,2_3_sunday_f_T02,Donja Sabanta,0,,,1,1
2,sunday,2_3_sunday_f_T03,Donja Sabanta,0,,,1,1
2,sunday,2_3_sunday_f_T04,Donja Sabanta,0,,,1,1
2,sunday,2_3_sunday_f_T05,Donja Sabanta,0,,,1,1
2,sunday,2_3_sunday_f_T06,Donja Sabanta,0,,,1,1
2,sunday,2_4_sunday_f_T01,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T02,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T03,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T04,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T05,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T06,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T07,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T08,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T09,Ždraljica,0,,,1,1
2,sunday,2_4_sunday_f_T10,Ždraljica,0,,,1,1
2,sunday,2_3_sunday_b_T01,Petrovac,1,,,1,1
2,sunday,2_3_sunday_b_T02,Petrovac,1,,,1,1
2,sunday,2_3_sunday_b_T03,Petrovac,1,,,1,1
2,sunday,2_3_sunday_b_T04,Petrovac,1,,,1,1
2,sunday,2_3_sunday_b_T05,Petrovac,1,,,1,1
2,sunday,2_3_sunday_b_T06,Petrovac,1,,,1,1
2,sunday,2_3_sunday_b_T07,Petrovac,1,,,1,1
2,sunday,2_2_sunday_b_T01,Novi Milanovac,1,,,1,1
2,sunday,2_2_sunday_b_T02,Novi Milanovac,1,,,1,1
2,sunday,2_4_sunday_b_T01,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T02,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T03,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T04,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T05,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T06,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T07,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T08,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T09,Petrovac,1,,,1,1
2,sunday,2_4_sunday_b_T10,Petrovac,1,,,1,1
3,work_day,3_work_day_f_T01,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T02,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T03,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T04,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T05,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T06,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T07,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T08,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T09,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T10,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T11,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T12,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T13,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T14,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T15,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T16,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T17,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T18,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T19,Bresnica,0,,,1,1
3,work_day,3_work_day_f_T20,Bresnica,0,,,1,1
